true,Fernando,Moreno,50897619,M,Divorciado,07/12/1979,Cartagena,Bucaramanga,Partido Liberal Colombiano,PRESIDENTE,
true,Javier,Ruiz,83511941,M,Casado,29/06/1966,Barranquilla,Barranquilla,Partido de la U,PRESIDENTE,
true,Antonio,Acosta,11876614,M,Divorciado,13/03/1966,Bucaramanga,Pereira,Partido Conservador Colombiano,PRESIDENTE,
true,Daniela,Reyes,45522847,M,Divorciado,31/03/1979,Manizales,Pereira,Partido Verde,PRESIDENTE,
true,Carlos,Ramirez,77234112,M,Casado,14/05/1960,Cali,Bogota,Centro Democratico,PRESIDENTE,
true,Ricardo,Navarro,45095162,F,Divorciado,25/01/1953,Barranquilla,Manizales,Centro Democratico,VICEPRESIDENTE,
true,Gabriela,Flores,29471011,F,Divorciado,03/06/1957,Barranquilla,Manizales,Partido Conservador Colombiano,VICEPRESIDENTE,
true,Juan,Garcia,14990308,F,Divorciado,22/10/1955,Cali,Medellin,Partido Verde,VICEPRESIDENTE,
true,Elena,Rodriguez,95210929,F,Union libre,25/11/1979,Pereira,Pereira,Partido de la U,VICEPRESIDENTE,
true,Roberto,Sanchez,41533890,F,Casado,09/02/1959,Cartagena,Bucaramanga,Partido Liberal Colombiano,VICEPRESIDENTE,
true,Edison,Murcia,60616263,M,Union libre,05/07/1984,Manizales,Quibdo,Partido Conservador Colombiano,ALCALDE,Quibdo,
true,Yenny,Arias,61626364,F,Casado,24/10/1978,Pereira,Quibdo,Centro Democratico,ALCALDE,Quibdo,
true,Harold,Torres,62636465,M,Soltero,12/02/1990,Cali,Quibdo,Partido Verde,ALCALDE,Quibdo,
true,Marleny,Ordoñez,63646566,F,Union libre,09/09/1981,Bogota,Quibdo,Cambio Radical,ALCALDE,Quibdo,
true,Alirio,Rangel,64656667,M,Divorciado,31/03/1976,Medellin,Puerto Carreno,Pacto Historico,ALCALDE,Puerto Carreno,
true,Nidia,Castañeda,65666768,F,Casado,21/06/1982,Pasto,Puerto Carreno,Movimiento Independiente,ALCALDE,Puerto Carreno,
true,Elkin,Sanchez,66676869,M,Soltero,13/11/1992,Popayan,Puerto Carreno,Renovacion Nacional,ALCALDE,Puerto Carreno,
true,Myriam,Cañon,67686970,F,Union libre,25/08/1979,Bucaramanga,Puerto Carreno,Union Ciudadana,ALCALDE,Puerto Carreno,
true,Alvaro,Fajardo,68697071,M,Casado,02/01/1974,Cartagena,Villavicencio,Partido Conservador Colombiano,ALCALDE,Villavicencio,
true,Ligia,Trujillo,69707172,F,Soltero,17/04/1987,Barranquilla,Villavicencio,Centro Democratico,ALCALDE,Villavicencio,
true,Hermes,Calderon,70717273,M,Divorciado,08/10/1975,Manizales,Villavicencio,Partido Verde,ALCALDE,Villavicencio,
true,Flor,Marin,71727374,F,Union libre,19/12/1980,Pereira,Villavicencio,Cambio Radical,ALCALDE,Villavicencio,
true,Hernan,Quintero,72737475,M,Casado,11/05/1972,Cali,Yopal,Pacto Historico,ALCALDE,Yopal,
true,Carmen,Suarez,73747576,F,Soltero,28/07/1989,Bogota,Yopal,Movimiento Independiente,ALCALDE,Yopal,
true,Reinaldo,Barrera,74757677,M,Union libre,06/03/1981,Medellin,Yopal,Renovacion Nacional,ALCALDE,Yopal,
true,Amparo,Forero,75767778,F,Divorciado,15/09/1973,Pasto,Yopal,Union Ciudadana,ALCALDE,Yopal,
true,Norbey,Montoya,76777879,M,Casado,23/02/1976,Popayan,Arauca,Partido Conservador Colombiano,ALCALDE,Arauca,
true,Dora,Guerrero,77787980,F,Union libre,30/10/1984,Bucaramanga,Arauca,Centro Democratico,ALCALDE,Arauca,
true,Jhon,Jaramillo,78798081,M,Soltero,12/01/1992,Cartagena,Arauca,Partido Verde,ALCALDE,Arauca,
true,Blanca,Reyes,79798082,F,Casado,04/06/1978,Barranquilla,Arauca,Cambio Radical,ALCALDE,Arauca,
true,Faber,Palacios,80818283,M,Divorciado,27/04/1975,Manizales,Leticia,Pacto Historico,ALCALDE,Leticia,
true,Edith,Pinilla,81828384,F,Union libre,14/08/1983,Pereira,Leticia,Movimiento Independiente,ALCALDE,Leticia,
true,Ciro,Narvaez,82838485,M,Casado,09/11/1970,Cali,Leticia,Renovacion Nacional,ALCALDE,Leticia,
true,Rosa,Alvarez,83848586,F,Soltero,18/03/1988,Bogota,Leticia,Union Ciudadana,ALCALDE,Leticia,
true,Fabio,Chacon,84858687,M,Union libre,01/07/1979,Medellin,Mitu,Partido Conservador Colombiano,ALCALDE,Mitu,
true,Ruth,Guevara,85868788,F,Casado,21/10/1976,Pasto,Mitu,Centro Democratico,ALCALDE,Mitu,
true,Rigoberto,Marulanda,86878889,M,Soltero,05/02/1990,Popayan,Mitu,Partido Verde,ALCALDE,Mitu,
true,Teresa,Cepeda,87888990,F,Divorciado,13/05/1972,Bucaramanga,Mitu,Cambio Radical,ALCALDE,Mitu,
true,Arnulfo,Beltran,88899091,M,Casado,25/09/1974,Cartagena,San Jose del Guaviare,Pacto Historico,ALCALDE,San Jose del Guaviare,
true,Lucy,Fernandez,89909192,F,Union libre,08/12/1981,Barranquilla,San Jose del Guaviare,Movimiento Independiente,ALCALDE,San Jose del Guaviare,
true,Jhonatan,Ramos,90919293,M,Soltero,16/04/1992,Manizales,San Jose del Guaviare,Renovacion Nacional,ALCALDE,San Jose del Guaviare,
true,Nohora,Velasquez,91929394,F,Casado,29/07/1978,Pereira,San Jose del Guaviare,Union Ciudadana,ALCALDE,San Jose del Guaviare,
true,Javier,Fierro,92939495,M,Divorciado,03/10/1975,Cali,Neiva,Partido Conservador Colombiano,ALCALDE,Neiva,
true,Helena,Rengifo,93949596,F,Union libre,20/01/1983,Bogota,Neiva,Centro Democratico,ALCALDE,Neiva,
true,Arley,Portilla,94959697,M,Casado,11/06/1971,Medellin,Neiva,Partido Verde,ALCALDE,Neiva,
true,Gloria,Peñafiel,95969798,F,Soltero,24/09/1989,Pasto,Neiva,Cambio Radical,ALCALDE,Neiva,
true,Miller,Angulo,96979899,M,Union libre,07/12/1980,Popayan,Florencia,Pacto Historico,ALCALDE,Florencia,
true,Diana Marcela,Salcedo,97989900,F,Casado,19/03/1977,Bucaramanga,Florencia,Movimiento Independiente,ALCALDE,Florencia,
true,Deivis,Castro,98990001,M,Soltero,02/05/1992,Cartagena,Florencia,Renovacion Nacional,ALCALDE,Florencia,
true,Nancy Liliana,Mora,99000102,F,Divorciado,15/08/1973,Barranquilla,Florencia,Union Ciudadana,ALCALDE,Florencia,
true,Cristian,Burbano,00001112,M,Union libre,28/11/1984,Manizales,Ibague,Partido Conservador Colombiano,ALCALDE,Ibague,
true,Leidy,Tobar,11122233,F,Casado,09/04/1979,Pereira,Ibague,Centro Democratico,ALCALDE,Ibague,
true,Yesid,Salazar,22233344,M,Soltero,22/07/1991,Cali,Ibague,Partido Verde,ALCALDE,Ibague,
true,Sara,Franco,33344455,F,Union libre,14/10/1982,Bogota,Ibague,Cambio Radical,ALCALDE,Ibague,
true,Harold,Fernandez,44455566,M,Casado,05/01/1976,Medellin,Cucuta,Pacto Historico,ALCALDE,Cucuta,
true,Yaneth,Perdomo,55566677,F,Soltero,18/06/1988,Pasto,Cucuta,Movimiento Independiente,ALCALDE,Cucuta,
true,Jader,Rivera,66677788,M,Union libre,30/09/1980,Popayan,Cucuta,Renovacion Nacional,ALCALDE,Cucuta,
true,Mery,Garcia,77788899,F,Divorciado,12/02/1974,Bucaramanga,Cucuta,Union Ciudadana,ALCALDE,Cucuta,
true,Brayan,Martinez,88899900,M,Casado,25/05/1990,Cartagena,Riohacha,Partido Conservador Colombiano,ALCALDE,Riohacha,
true,Jenny,Figueroa,99900011,F,Union libre,08/08/1983,Barranquilla,Riohacha,Centro Democratico,ALCALDE,Riohacha,
true,Eliecer,Mosquera,00011122,M,Soltero,21/11/1992,Manizales,Riohacha,Partido Verde,ALCALDE,Riohacha,
true,Yulieth,Hernandez,11122233,F,Casado,03/04/1978,Pereira,Riohacha,Cambio Radical,ALCALDE,Riohacha,
true,Duban,Cardona,22233344,M,Union libre,16/07/1985,Cali,Inirida,Pacto Historico,ALCALDE,Inirida,
true,Yuri,Palacios,33344455,F,Casado,29/10/1979,Bogota,Inirida,Movimiento Independiente,ALCALDE,Inirida,
true,Misael,Guerrero,44455566,M,Soltero,11/01/1991,Medellin,Inirida,Renovacion Nacional,ALCALDE,Inirida,
true,Zulma,Mendez,55566677,F,Divorciado,24/04/1973,Pasto,Inirida,Union Ciudadana,ALCALDE,Inirida,
true,Nelcy,Rosas,66677788,F,Union libre,07/09/1986,Popayan,Mocoa,Partido Conservador Colombiano,ALCALDE,Mocoa,
true,Yefferson,Arce,77788899,M,Casado,20/12/1977,Bucaramanga,Mocoa,Centro Democratico,ALCALDE,Mocoa,
true,Yovanny,Murillo,88899900,M,Soltero,02/03/1992,Cartagena,Mocoa,Partido Verde,ALCALDE,Mocoa,
true,Yenifer,Ramos,99900011,F,Union libre,15/06/1984,Barranquilla,Mocoa,Cambio Radical,ALCALDE,Mocoa,
true,Dario,Mendoza,00011122,M,Casado,28/09/1975,Manizales,San Andres,Pacto Historico,ALCALDE,San Andres,
true,Yorlady,Ruiz,11122233,F,Soltero,10/12/1989,Pereira,San Andres,Movimiento Independiente,ALCALDE,San Andres,
true,Yamid,Cortes,22233344,M,Union libre,23/03/1981,Cali,San Andres,Renovacion Nacional,ALCALDE,San Andres,
true,Zully,Ortega,33344455,F,Casado,06/08/1978,Bogota,San Andres,Union Ciudadana,ALCALDE,San Andres,
